Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60916169,Independence,Chitra Banerjee Divakaruni,"Divakaruni, Chitra Banerjee",,"=""0063142384""","=""9780063142381""",0,4.11,William Morrow,Hardcover,288,2023,2023,,2026/03/18,to-read,to-read (#108),to-read,,,,0,0
43890641,Hamnet,Maggie O'Farrell,"O'Farrell, Maggie",,"=""1472223799""","=""9781472223791""",0,4.21,Tinder Press,Hardcover,372,2020,2020,,2026/02/08,currently-reading,currently-reading (#2),currently-reading,,,,1,0
17465709,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",Robin Wall Kimmerer,"Kimmerer, Robin Wall",,"=""1571313354""","=""9781571313355""",0,4.50,Milkweed Editions,Hardcover,408,2013,2013,,2022/07/07,did-not-finish,did-not-finish (#7),did-not-finish,,,,0,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.17,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2023/06/13,did-not-finish,did-not-finish (#6),did-not-finish,,,,0,0
65678550,The Heaven & Earth Grocery Store,James   McBride,"McBride, James",,"=""0593422945""","=""9780593422946""",0,3.91,Riverhead Books,Hardcover,400,2023,2023,,2024/11/18,did-not-finish,did-not-finish (#5),did-not-finish,,,,1,0
58085262,Vagina Obscura: An Anatomical Voyage,Rachel E. Gross,"Gross, Rachel E.",,"=""1324006315""","=""9781324006312""",0,4.40,W. W. Norton & Company,Hardcover,336,2022,2022,,2024/10/02,did-not-finish,did-not-finish (#4),did-not-finish,,,,1,0
17607,All About Love: New Visions,bell hooks,"hooks, bell",,"=""0688168442""","=""9780688168445""",0,4.00,William Morrow,Hardcover,240,1999,1999,,2022/06/11,did-not-finish,did-not-finish (#3),did-not-finish,,,,1,0
8171378,The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,"Wilkerson, Isabel",,"=""0679444327""","=""9780679444329""",0,4.48,Random House,Hardcover,640,2010,2010,,2025/11/07,did-not-finish,did-not-finish (#2),did-not-finish,,,,1,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch","=""080701429X""","=""9780807014295""",0,4.37,Beacon Press,Paperback,165,2006,1946,,2022/04/07,did-not-finish,did-not-finish (#1),did-not-finish,,,,1,0
79352,Six Pillars of Self-Esteem,Nathaniel Branden,"Branden, Nathaniel",,"=""0553374397""","=""9780553374391""",0,4.11,Bantam,Paperback,341,1995,1994,2026/03/16,2026/03/17,,,read,,,,1,0
16235,Sister of My Heart (Anju and Sudha #1),Chitra Banerjee Divakaruni,"Divakaruni, Chitra Banerjee",,"=""038548951X""","=""9780385489515""",0,4.01,Anchor,Paperback,322,2000,2000,,2026/03/17,to-read,to-read (#107),to-read,,,,0,0
1774836,The Palace of Illusions,Chitra Banerjee Divakaruni,"Divakaruni, Chitra Banerjee",,"=""0385515995""","=""9780385515993""",4,4.20,Doubleday,Hardcover,360,2008,2008,2026/03/17,2025/12/31,,,read,,,,1,0
63241441,Las Madres,Esmeralda Santiago,"Santiago, Esmeralda",,"=""030796261X""","=""9780307962614""",0,3.98,Knopf,Hardcover,336,2023,2023,,2026/03/13,to-read,to-read (#106),to-read,,,,0,0
37415,Their Eyes Were Watching God,Zora Neale Hurston,"Hurston, Zora Neale",,"=""0061120065""","=""9780061120060""",0,3.99,Amistad,Paperback,238,2006,1937,,2026/03/13,to-read,to-read (#105),to-read,,,,0,0
220817728,Atmosphere,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",0,4.33,Ballantine Books,Hardcover,337,2025,2025,,2026/03/08,to-read,to-read (#104),to-read,,,,0,0
50202953,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""163557563X""","=""9781635575637""",0,4.21,Bloomsbury,Hardcover,245,2020,2020,,2026/03/05,to-read,to-read (#103),to-read,,,,0,0
14249,Prodigal Summer,Barbara Kingsolver,"Kingsolver, Barbara",,"=""0060959037""","=""9780060959036""",5,4.05,Harper Perennial,Paperback,444,2001,2000,2023/01/23,2022/12/26,currently-reading,currently-reading (#1),currently-reading,,,,2,0
12609,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",Anne Fadiman,"Fadiman, Anne",,"=""0374525641""","=""9780374525644""",0,4.20,"Farrar, Straus and Giroux ",Paperback,341,2007,1997,,2026/03/04,to-read,to-read (#102),to-read,,,,0,0
